act_hi_actinst_05,TASK_ID_,varchar
act_hi_actinst_05,CALL_PROC_INST_ID_,varchar
act_hi_actinst_05,ACT_NAME_,varchar
act_hi_actinst_05,ACT_TYPE_,varchar
act_hi_actinst_05,ASSIGNEE_,varchar
act_hi_actinst_05,START_TIME_,datetime
act_hi_actinst_05,END_TIME_,datetime
act_hi_actinst_05,duration_,bigint
act_hi_actinst_05,TENANT_ID_,varchar
act_hi_actinst_06,ID_,varchar
act_hi_actinst_06,PROC_DEF_ID_,varchar
act_hi_actinst_06,PROC_INST_ID_,varchar
act_hi_actinst_06,EXECUTION_ID_,varchar
act_hi_actinst_06,ACT_ID_,varchar
act_hi_actinst_06,TASK_ID_,varchar
act_hi_actinst_06,CALL_PROC_INST_ID_,varchar
act_hi_actinst_06,ACT_NAME_,varchar
act_hi_actinst_06,ACT_TYPE_,varchar
act_hi_actinst_06,ASSIGNEE_,varchar
act_hi_actinst_06,START_TIME_,datetime
act_hi_actinst_06,END_TIME_,datetime
act_hi_actinst_06,duration_,bigint
act_hi_actinst_06,TENANT_ID_,varchar
act_hi_actinst_07,ID_,varchar
act_hi_actinst_07,PROC_DEF_ID_,varchar
act_hi_actinst_07,PROC_INST_ID_,varchar
act_hi_actinst_07,EXECUTION_ID_,varchar
act_hi_actinst_07,ACT_ID_,varchar
act_hi_actinst_07,TASK_ID_,varchar
act_hi_actinst_07,CALL_PROC_INST_ID_,varchar
act_hi_actinst_07,ACT_NAME_,varchar
act_hi_actinst_07,ACT_TYPE_,varchar
act_hi_actinst_07,ASSIGNEE_,varchar
act_hi_actinst_07,START_TIME_,datetime
act_hi_actinst_07,END_TIME_,datetime
act_hi_actinst_07,duration_,bigint
act_hi_actinst_07,TENANT_ID_,varchar
act_hi_actinst_08,ID_,varchar
act_hi_actinst_08,PROC_DEF_ID_,varchar
act_hi_actinst_08,PROC_INST_ID_,varchar
act_hi_actinst_08,EXECUTION_ID_,varchar
act_hi_actinst_08,ACT_ID_,varchar
act_hi_actinst_08,TASK_ID_,varchar
act_hi_actinst_08,CALL_PROC_INST_ID_,varchar
act_hi_actinst_08,ACT_NAME_,varchar
act_hi_actinst_08,ACT_TYPE_,varchar
act_hi_actinst_08,ASSIGNEE_,varchar
act_hi_actinst_08,START_TIME_,datetime
act_hi_actinst_08,END_TIME_,datetime
act_hi_actinst_08,duration_,bigint
act_hi_actinst_08,TENANT_ID_,varchar
act_hi_actinst_09,ID_,varchar
act_hi_actinst_09,PROC_DEF_ID_,varchar
act_hi_actinst_09,PROC_INST_ID_,varchar
act_hi_actinst_09,EXECUTION_ID_,varchar
act_hi_actinst_09,ACT_ID_,varchar
act_hi_actinst_09,TASK_ID_,varchar
act_hi_actinst_09,CALL_PROC_INST_ID_,varchar
act_hi_actinst_09,ACT_NAME_,varchar
act_hi_actinst_09,ACT_TYPE_,varchar
act_hi_actinst_09,ASSIGNEE_,varchar
act_hi_actinst_09,START_TIME_,datetime
act_hi_actinst_09,END_TIME_,datetime
act_hi_actinst_09,duration_,bigint
act_hi_actinst_09,TENANT_ID_,varchar
act_hi_actinst_10,ID_,varchar
act_hi_actinst_10,PROC_DEF_ID_,varchar
act_hi_actinst_10,PROC_INST_ID_,varchar
act_hi_actinst_10,EXECUTION_ID_,varchar
act_hi_actinst_10,ACT_ID_,varchar
act_hi_actinst_10,TASK_ID_,varchar
act_hi_actinst_10,CALL_PROC_INST_ID_,varchar
act_hi_actinst_10,ACT_NAME_,varchar
act_hi_actinst_10,ACT_TYPE_,varchar
act_hi_actinst_10,ASSIGNEE_,varchar
act_hi_actinst_10,START_TIME_,datetime
act_hi_actinst_10,END_TIME_,datetime
act_hi_actinst_10,duration_,bigint
act_hi_actinst_10,TENANT_ID_,varchar
act_hi_actinst_11,ID_,varchar
act_hi_actinst_11,PROC_DEF_ID_,varchar
act_hi_actinst_11,PROC_INST_ID_,varchar
act_hi_actinst_11,EXECUTION_ID_,varchar
act_hi_actinst_11,ACT_ID_,varchar
act_hi_actinst_11,TASK_ID_,varchar
act_hi_actinst_11,CALL_PROC_INST_ID_,varchar
act_hi_actinst_11,ACT_NAME_,varchar
act_hi_actinst_11,ACT_TYPE_,varchar
act_hi_actinst_11,ASSIGNEE_,varchar
act_hi_actinst_11,START_TIME_,datetime
act_hi_actinst_11,END_TIME_,datetime
act_hi_actinst_11,duration_,bigint
act_hi_actinst_11,TENANT_ID_,varchar
act_hi_actinst_12,ID_,varchar
act_hi_actinst_12,PROC_DEF_ID_,varchar
act_hi_actinst_12,PROC_INST_ID_,varchar
act_hi_actinst_12,EXECUTION_ID_,varchar
act_hi_actinst_12,ACT_ID_,varchar
act_hi_actinst_12,TASK_ID_,varchar
act_hi_actinst_12,CALL_PROC_INST_ID_,varchar
act_hi_actinst_12,ACT_NAME_,varchar
act_hi_actinst_12,ACT_TYPE_,varchar
